Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
570,Café BUENDIA Clásico (300 gr),300 gr,Café,BUENDIA,https://www.exito.com/cafe-clasico-buendia-300-gr-3091244/p,https://www.exito.com/cafe-clasico-buendia-300-gr-3091244/p,3289460,5.700,7707211630851
571,Cacao TOSH En polvo (200 gr),200 gr,Cacao,TOSH,https://www.exito.com/cacao-en-polvo-tosh-200-gr-3022507/p,https://www.exito.com/cacao-en-polvo-tosh-200-gr-3022507/p,3035454,3.264,7702007069686
572,Cápsulas de Café NESCAFE DOLCE GUSTO Americano (128 gr),128 gr,Cápsulas,NESCAFE DOLCE GUSTO,https://www.exito.com/capsulas-de-cafe-americano-nescafe-dolce-gusto-128-gramo-3000074/p,https://www.exito.com/capsulas-de-cafe-americano-nescafe-dolce-gusto-128-gramo-3000074/p,3000108,4.400,7613036693103
573,Chocolate de mesa CORONA delicatto (142 gr),142 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-delicatto-corona-142-gr-3035819/p,https://www.exito.com/chocolate-de-mesa-delicatto-corona-142-gr-3035819/p,3086676,1.364,7702007069730
574,Chocolate de mesa LA ESPECIAL pastillado clavos y canela (400 gr),400 gr,Chocolate,LA ESPECIAL,https://www.exito.com/chocolate-de-mesa-pastillado-clavo-y-canela-la-especial-400-gr-3158744/p,https://www.exito.com/chocolate-de-mesa-pastillado-clavo-y-canela-la-especial-400-gr-3158744/p,3526077,1.821,7702007082623
575,Café BUENDIA Vainilla (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-con-sabor-a-vainilla-x-85-gr-912523/p,https://www.exito.com/cafe-con-sabor-a-vainilla-x-85-gr-912523/p,1275026,2.829,7707211632541
576,Chocolate de mesa CORONA Tradicional (500 gr),500 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-corona-tradicional-500-gr-3179772/p,https://www.exito.com/chocolate-de-mesa-corona-tradicional-500-gr-3179772/p,3578861,2.514,7702007083354
577,Café TOSTAO tricpark (1362 gr),1362 gr,Café,TOSTAO,https://www.exito.com/cafe-tostao-tricpark-1362-gr-3185383/p,https://www.exito.com/cafe-tostao-tricpark-1362-gr-3185383/p,3600529,5.611,7708323728597
578,Chocolate LUKER de mesa granulado (250 gr),250 gr,Chocolate,LUKER,https://www.exito.com/chocolate-luker-facil-x-250-gr-458416/p,https://www.exito.com/chocolate-luker-facil-x-250-gr-458416/p,778679,1.450,7702088012984
579,Café TOSTAO Gourmet Tostado Y Molido (454 gr),454 gr,Café,TOSTAO Y,https://www.exito.com/cafe-tostado-mol-gourmet-tostao-454-gr-3068640/p,https://www.exito.com/cafe-tostado-mol-gourmet-tostao-454-gr-3068640/p,3201410,2.794,7702439044787
580,Café EXITO MARCA PROPIA instantáneo original (170 gr),170 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/cafe-instantaneo-soluble-pulverizado-x-170-gr-6753/p,https://www.exito.com/cafe-instantaneo-soluble-pulverizado-x-170-gr-6753/p,251334,2.240,7701001069234
581,Café SELLO ROJO tostado y molido (120 gr),120 gr,Café,SELLO ROJO,https://www.exito.com/cafe-vainilla-medio-tostado-y-molido-x-120-gr-88871/p,https://www.exito.com/cafe-vainilla-medio-tostado-y-molido-x-120-gr-88871/p,326275,1.156,7702032102785
582,Café Nescafé DOLCA Soluble frasco (85 gr),85 gr,Café,DOLCA,https://www.exito.com/nescafe-dolca-dawn-jar-392867/p,https://www.exito.com/nescafe-dolca-dawn-jar-392867/p,694665,1.283,7702024059998
583,Café OMA Molido Linea Selecta (400 gr),400 gr,Café,OMA,https://www.exito.com/cafe-tostado-molido-dulces-acidas-oma-400-gr-3114857/p,https://www.exito.com/cafe-tostado-molido-dulces-acidas-oma-400-gr-3114857/p,3360059,3.814,7702747950701
584,Chocolate De Mesa CORONA Tradicional Pastillado (200 gr),200 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-corona-tradicional-pastillado-200-gr-3190953/p,https://www.exito.com/chocolate-de-mesa-corona-tradicional-pastillado-200-gr-3190953/p,3622565,1.284,7702007085471
